"size","solution_terms","elpd","se","diff","diff.se","ref.loo.elpd","spline.elpd","spline.elpd.se","mono.spline.elpd","mono.spline.elpd.se","spline.elpd.diff","spline.elpd.diff.se","mono.spline.elpd.diff","mono.spline.elpd.diff.se","n","rho","run"
95,"X.59",-265.633044889714,6.69992044084559,0.261703026547442,0.221112468878842,-265.620835793046,-265.698101122209,1.66312717732481,-261.581756704018,5.97726110099058,0.274349481135099,0.0721637612001596,0.296264793174002,0.06230300251634,200,0.9,9
96,"X.89",-265.602509863195,6.6985671906104,0.292238053065888,0.221588561424621,-265.620835793046,-265.587140958974,1.66279125882193,-261.528922408662,5.97605381352171,0.274021360566527,0.0723191419842327,0.296967368011568,0.0624371514190593,200,0.9,9
97,"X.81",-265.616722806164,6.70051903086292,0.278025110096586,0.22151944493985,-265.620835793046,-265.621059256055,1.66327576585428,-261.605127164363,5.97779512655963,0.275326910271375,0.0722965846606801,0.29693431744112,0.0624176764227081,200,0.9,9
98,"X.100",-265.613046744356,6.70023258374677,0.281701171904592,0.221752872993617,-265.620835793046,-265.57994901063,1.66320466083327,-261.593943547757,5.97753957588258,0.277204651936493,0.0723727678194813,0.297303076121091,0.0624834495954967,200,0.9,9
99,"X.93",-265.621990515533,6.70152053104444,0.272757400727853,0.221723681316514,-265.620835793046,-265.611727488601,1.6635243691302,-261.644228251581,5.97868860404648,0.277798030450241,0.0723632406262562,0.297317140073957,0.0624752242378711,200,0.9,9
100,"X.97",-265.620835793046,6.70207547973853,0.273912123214921,0.219406232394397,-265.620835793046,-265.619752987724,1.6636621245354,-261.665894845075,5.97918369548399,0.274684525817243,0.0716069023181669,0.294260723872616,0.0618222351651232,200,0.9,9
0,NA,-401.708270809934,10.1381203675621,-147.667854290674,10.5532084295681,-254.692375881122,-371.147004812731,5.15887601643766,-318.237626773473,11.2205168990898,-131.238476256097,3.56767899673621,-144.260000252537,2.59555591849495,200,0.9,10
1,"X.4",-314.604584119336,9.72694493912981,-60.5641676000763,6.78098421856145,-254.692375881122,-342.643726247838,4.94964560888846,-305.330747806312,10.7654423215599,-68.6543959425653,2.29241894872263,-64.3244392030929,1.667779409378,200,0.9,10
2,"X.6",-285.555722183185,8.6631098877525,-31.5153056639251,4.78406513987106,-254.692375881122,-294.139327116062,4.40830333507249,-271.936752690879,9.5880269093287,-38.441099823411,1.61732887514232,-33.7456298414701,1.17663823955819,200,0.9,10
3,"X.13",-278.743386597828,8.46506914091526,-24.7029700785687,3.74685111774779,-254.692375881122,-278.588621582539,4.30752847522717,-265.720214023099,9.36884233999713,-23.9783001622788,1.26668227259048,-22.0551222949222,0.921536010521843,200,0.9,10
4,"X.1",-275.643524075983,8.57372255244337,-21.6031075567235,3.640266702665,-254.692375881122,-275.952482382832,4.36281776540269,-269.130866349736,9.48909613419115,-19.5207522322879,1.23064972555911,-20.0103048109964,0.895321631147664,200,0.9,10
5,"X.19",-272.658542783331,8.48293328792343,-18.6181262640715,3.54860044426864,-254.692375881122,-269.74498089541,4.31661881112902,-266.280973170776,9.38861375285532,-17.4420791198424,1.19966049730945,-19.1853118823275,0.87277636436033,200,0.9,10
6,"X.96",-270.701691273523,8.37677253227488,-16.6612747542633,3.3513782618275,-254.692375881122,-265.495632877873,4.26259793187861,-262.948565809779,9.27111874297302,-16.4349204376233,1.13298641968825,-17.9384593166752,0.824269675014621,200,0.9,10
7,"X.94",-269.345532744446,8.44609701913406,-15.3051162251867,2.90184665788618,-254.692375881122,-268.311748694449,4.2978743361472,-265.124675322127,9.34784465942721,-14.7911331411767,0.98101515213922,-15.4298071929721,0.713707619602988,200,0.9,10
8,"X.10",-268.640665339466,8.56894022753249,-14.6002488202059,2.75844833352212,-254.692375881122,-273.336627208352,4.36038423528161,-268.980748211582,9.48380322430904,-14.5579752737882,0.932537080904748,-14.6072305932358,0.678438879106726,200,0.9,10
9,"X.52",-267.545903879861,8.27041974384737,-13.5054873606013,2.51849904441927,-254.692375881122,-264.563036802163,4.2084793349782,-259.610130500306,9.15341119793001,-13.3920619840487,0.851418429195427,-13.3031823939841,0.619423480934112,200,0.9,10
10,"X.26",-266.082445160091,8.360258891072,-12.0420286408316,2.53495217947441,-254.692375881122,-267.405398246875,4.25419481330663,-262.430199306079,9.25284202268714,-13.2007430338709,0.856980671688642,-13.3667404024352,0.62347012062243,200,0.9,10
11,"X.3",-265.392592262781,8.44429707287377,-11.3521757435212,2.37568421240532,-254.692375881122,-269.212528145476,4.29695841689822,-265.068174646563,9.34585254188483,-11.9562246187813,0.803137616777187,-12.5109671741423,0.584298250066495,200,0.9,10
12,"X.77",-264.342828920929,8.21016735991836,-10.3024124016691,2.1004721150373,-254.692375881122,-260.294354503939,4.177819353925,-257.718796111819,9.08672596757419,-10.3176120212677,0.710097815092176,-11.0514864032958,0.516609983229695,200,0.9,10
13,"X.65",-263.656441302778,8.18810772078518,-9.61602478351808,1.91128261565597,-254.692375881122,-257.875521124009,4.16659410317541,-257.02633962519,9.06231113082855,-9.42511287150307,0.64613931300719,-10.0493005681412,0.470078927947922,200,0.9,10
14,"X.12",-263.390967698609,8.46469961629325,-9.35055117934916,1.62023203127302,-254.692375881122,-264.80138366568,4.30734043921647,-265.708614564882,9.36843336307484,-8.26562716264906,0.547745060318927,-8.51434660743841,0.398495193776617,200,0.9,10
15,"X.31",-262.791468591433,8.55354574738699,-8.75105207217305,1.59445099792534,-254.692375881122,-265.887599499668,4.35255061213168,-268.49751239558,9.46676515232303,-8.54212061365774,0.5390293742977,-8.37474042539913,0.392154362536802,200,0.9,10
16,"X.2",-262.624741542482,8.53943183542786,-8.58432502322241,1.60035807322272,-254.692375881122,-263.842972021674,4.34536861790946,-268.054473874699,9.45114436839978,-8.95113632672012,0.541026354515732,-8.40188419283508,0.393607204518598,200,0.9,10
17,"X.23",-262.264193736725,8.59751338283755,-8.22377721746515,1.55632061426634,-254.692375881122,-264.016346028429,4.37492394878599,-269.877665268193,9.51542699285164,-8.8942343424072,0.526138795112646,-8.16701633700041,0.382776215251914,200,0.9,10
18,"X.60",-261.948979015551,8.50255619782719,-7.90856249629146,1.40650863161313,-254.692375881122,-259.437574284026,4.32660410974504,-266.896940231206,9.4103317029488,-7.99318232390384,0.475492485268737,-7.37750052957202,0.345930038960396,200,0.9,10
19,"X.9",-261.773754083062,8.65836782295534,-7.73333756380214,1.42183662115123,-254.692375881122,-262.475254929613,4.40589029168146,-271.78789831799,9.58277855793179,-7.85733406241305,0.480674354527006,-7.45434244045872,0.349699949715952,200,0.9,10
20,"X.86",-261.605971296527,8.64229433487677,-7.56555477726776,1.37581473227989,-254.692375881122,-260.378739921349,4.39771114908473,-271.283348310646,9.56498898372335,-7.32244343751004,0.465115927209643,-7.20939112180615,0.33838089098253,200,0.9,10
21,"X.37",-261.328876492995,8.73538481963442,-7.28845997373491,1.36319976831173,-254.692375881122,-261.826138566615,4.44508110049223,-274.20547725201,9.66801827510064,-7.03120970465775,0.460851239148741,-7.13938143511808,0.335278247401889,200,0.9,10
22,"X.41",-261.076786093921,8.71992926291099,-7.03636957466127,1.3339800231648,-254.692375881122,-260.403241808029,4.43721639796253,-273.720324233536,9.6509126056952,-6.7877797485654,0.450973042224419,-6.98222095767892,0.328091666850657,200,0.9,10
23,"X.67",-260.868484246944,8.775289552435,-6.82806772768436,1.33989089785557,-254.692375881122,-261.528335389738,4.46538699167557,-275.458094797498,9.71218343713356,-6.85588283547582,0.45297130688747,-7.00865796319023,0.329545443291208,200,0.9,10
24,"X.48",-260.835140966898,8.79918938469741,-6.79472444763869,1.33848833275849,-254.692375881122,-262.099050574994,4.47754864166444,-276.208315313452,9.73863493524792,-6.96024885880062,0.452497147576414,-6.99642410124309,0.329200483162438,200,0.9,10
25,"X.98",-260.474023533732,8.70607815861882,-6.433607014472,1.23789538298058,-254.692375881122,-259.468315396523,4.43016813584456,-273.285535296701,9.63558268810232,-6.53302987125876,0.418490110139641,-6.46566114536072,0.304459701446863,200,0.9,10
