"size","n","rho","elpd","data"
59,100,0.5,-160.677606734225,"test"
60,100,0.5,-126.091252920163,"train"
60,100,0.5,-160.571622818671,"test"
61,100,0.5,-126.10940611499,"train"
61,100,0.5,-160.63253114631,"test"
62,100,0.5,-126.258672034378,"train"
62,100,0.5,-160.928481549985,"test"
63,100,0.5,-126.353825235002,"train"
63,100,0.5,-160.593363571865,"test"
64,100,0.5,-126.831568329033,"train"
64,100,0.5,-160.38649615893,"test"
65,100,0.5,-126.927480048301,"train"
65,100,0.5,-160.225529332239,"test"
66,100,0.5,-127.155242585683,"train"
66,100,0.5,-159.944362699059,"test"
67,100,0.5,-127.123632948337,"train"
67,100,0.5,-159.740705383747,"test"
68,100,0.5,-127.223343769134,"train"
68,100,0.5,-159.711937905491,"test"
69,100,0.5,-127.936154154774,"train"
69,100,0.5,-159.740872190857,"test"
70,100,0.5,-127.577721400699,"train"
70,100,0.5,-159.647832115738,"test"
71,100,0.5,-128.040721194774,"train"
71,100,0.5,-160.458227514908,"test"
72,100,0.5,-128.350202985007,"train"
72,100,0.5,-160.493114425205,"test"
73,100,0.5,-128.652349571978,"train"
73,100,0.5,-160.633194870766,"test"
74,100,0.5,-128.710628659012,"train"
74,100,0.5,-160.598268355513,"test"
75,100,0.5,-129.034487694679,"train"
75,100,0.5,-160.996651655296,"test"
76,100,0.5,-129.399851531162,"train"
76,100,0.5,-160.78019408074,"test"
77,100,0.5,-129.482363097846,"train"
77,100,0.5,-160.427253290932,"test"
78,100,0.5,-129.716054963245,"train"
78,100,0.5,-160.119282336973,"test"
79,100,0.5,-129.73108087692,"train"
79,100,0.5,-160.185309809124,"test"
80,100,0.5,-129.852573222773,"train"
80,100,0.5,-160.220945404216,"test"
81,100,0.5,-130.358178918153,"train"
81,100,0.5,-160.127462645612,"test"
82,100,0.5,-130.604260508582,"train"
82,100,0.5,-159.901252069921,"test"
83,100,0.5,-130.659933905391,"train"
83,100,0.5,-159.729004599484,"test"
84,100,0.5,-130.9348153176,"train"
84,100,0.5,-159.776940320104,"test"
85,100,0.5,-131.07142084304,"train"
85,100,0.5,-160.295174358831,"test"
86,100,0.5,-131.530983501146,"train"
86,100,0.5,-160.152530908073,"test"
87,100,0.5,-131.583674361868,"train"
87,100,0.5,-160.081002945388,"test"
88,100,0.5,-131.58551388066,"train"
88,100,0.5,-160.127605633314,"test"
89,100,0.5,-131.947567742022,"train"
89,100,0.5,-160.1434735373,"test"
90,100,0.5,-132.226367303996,"train"
90,100,0.5,-160.097466733209,"test"
91,100,0.5,-132.484857823269,"train"
91,100,0.5,-160.166089940097,"test"
92,100,0.5,-132.372559431943,"train"
92,100,0.5,-160.431142488489,"test"
93,100,0.5,-132.633465686607,"train"
93,100,0.5,-160.327149771293,"test"
94,100,0.5,-132.778918666398,"train"
94,100,0.5,-160.737665865085,"test"
95,100,0.5,-132.984709838008,"train"
95,100,0.5,-160.668683022946,"test"
96,100,0.5,-132.862162039599,"train"
96,100,0.5,-160.680109578751,"test"
97,100,0.5,-132.882623835505,"train"
97,100,0.5,-160.856568739792,"test"
98,100,0.5,-133.138119455071,"train"
98,100,0.5,-161.196343418324,"test"
99,100,0.5,-133.257590790175,"train"
99,100,0.5,-161.097408551729,"test"
100,100,0.5,-133.671096897578,"train"
